stream,date,species,fork_length,lifestage,weight,count,mort,is_plus_count
mill creek,2022-11-02T00:00:00Z,chinook salmon,123,smolt,24.9,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,chinook salmon,101,silvery parr,12.8,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,raitro,144,smolt,30.8,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,61,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,54,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,113,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,46,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,66,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,53,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,97,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,94,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,67,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,79,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,63,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,60,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,67,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,56,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,64,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,70,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,44,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,57,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,hardhead,58,NA,NA,1,NA,FALSE
mill creek,2022-11-02T00:00:00Z,lamspp,83,NA,NA,1,NA,FALSE
mill creek,2022-11-03T00:00:00Z,hardhead,98,NA,NA,1,NA,FALSE
mill creek,2022-11-03T00:00:00Z,hardhead,72,NA,NA,1,NA,FALSE
mill creek,2022-11-03T00:00:00Z,hardhead,64,NA,NA,1,NA,FALSE
mill creek,2022-11-03T00:00:00Z,hardhead,65,NA,NA,1,NA,FALSE
mill creek,2022-11-03T00:00:00Z,hardhead,78,NA,NA,1,NA,FALSE
mill creek,2022-11-03T00:00:00Z,paclam,10,NA,NA,1,NA,FALSE
mill creek,2022-11-04T00:00:00Z,chinook salmon,99,silvery parr,4.96,1,NA,FALSE
mill creek,2022-11-04T00:00:00Z,lamspp,170,NA,NA,1,NA,FALSE
mill creek,2022-11-04T00:00:00Z,lamspp,121,NA,NA,1,NA,FALSE
mill creek,2022-11-04T00:00:00Z,hardhead,60,NA,NA,1,NA,FALSE
mill creek,2022-11-04T00:00:00Z,sacpik,101,NA,NA,1,NA,FALSE
mill creek,2022-11-07T00:00:00Z,hardhead,100,NA,NA,1,NA,FALSE
mill creek,2022-11-07T00:00:00Z,hardhead,173,NA,NA,1,NA,FALSE
