stream,trap_location,release_origin,release_date,release_time,min_fl_released,max_fl_released,mean_fl_released,life_stage_released,total_number_marked,total_number_released,min_flow_cfs,max_flow_cfs,mean_flow_cfs,mark_type,mark_color,turbidity_ntu,recapture_begining_date,recapture_begining_time,recapture_end_date,recapture_end_time,min_fl_recaptured,max_fl_recaptured,mean_fl_recaptured,total_recaptured,estimated_efficiency,min_rotations_during_efficiency,max_rotations_during_efficiency_test,pdf_page_#
mill creek,upper mill,hatchery,2022-02-07T00:00:00Z,1899-12-31T12:38:00Z,not recorded,not recorded,not recorded,not recorded,400,399,169,177,NA,bismark brown,NA,NA,2022-02-08T00:00:00Z,1899-12-31T14:47:00Z,2022-02-09T00:00:00Z,1899-12-31T15:58:00Z,43,60,54,43,NA,8,8,3
mill creek,upper mill,hatchery,2022-02-22T00:00:00Z,1899-12-31T13:35:00Z,not recorded,not recorded,not recorded,not recorded,400,400,NA,NA,NA,bismark brown,NA,NA,2022-02-23T00:00:00Z,1899-12-31T13:35:00Z,2022-02-25T00:00:00Z,1899-12-31T11:00:00Z,51,59,56,21,NA,8,8,5
mill creek,upper mill,hatchery,2022-03-07T00:00:00Z,1899-12-31T12:19:00Z,not recorded,not recorded,not recorded,not recorded,400,400,NA,NA,NA,bismark brown,NA,NA,2022-03-08T00:00:00Z,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,7
