stream,trap_location,date,time,hours_fished,debris_gal,water_temp,weather_code,staff_gage_ft,flow_cfs,total_revs,before_rpms,after_rpms,comments
deer creek,leininger ranch,2022-11-02T00:00:00Z,1899-12-31T09:19:00Z,NA,7,11,3,102,102,NA,5,5,NA
deer creek,deer,2022-11-02T00:00:00Z,1899-12-31T02:00:00Z,NA,NA,8.5,NA,92,92,NA,NA,NA,NA
deer creek,deer,2022-11-04T00:00:00Z,1899-12-31T10:19:00Z,NA,5,12,4,81,81,NA,4,4,NA
deer creek,leininger ranch,2022-11-07T00:00:00Z,1899-12-31T10:08:00Z,NA,30,11,1,118,118,NA,6,4,NA
deer creek,NA,2022-11-08T00:00:00Z,1899-12-31T12:23:00Z,NA,30,9,4,191,191,NA,7.5,7.5,NA
deer creek,deer,2022-11-09T00:00:00Z,1899-12-31T09:50:00Z,NA,5,10,2,152,152,NA,2,2,NA
deer creek,deer,2022-11-16T00:00:00Z,1899-12-31T10:00:00Z,NA,33,8,2,83,83,NA,NA,NA,NA
deer creek,NA,2022-11-17T00:00:00Z,1899-12-31T08:32:00Z,NA,5,8,1,83,83,NA,4,4,NA
deer creek,deer,2022-11-18T00:00:00Z,1899-12-31T09:00:00Z,NA,4,6,NA,83,83,NA,1,4,cone not spinning at arrival. Too shallow. Moved trap and raised cone. Trap running @ 4rpms
deer creek,NA,2022-11-21T00:00:00Z,1899-12-31T09:33:00Z,NA,55,7,2,80,80,NA,0,2,trap filled with foliage. Could not move
deer creek,NA,2022-11-22T00:00:00Z,1899-12-31T08:30:00Z,NA,5,6,1,80,80,NA,2,2,NA
deer creek,NA,2022-11-23T00:00:00Z,1899-12-31T08:10:00Z,NA,8,9,1,82,82,NA,0,0,cone not in current. Raised today
deer creek,deer,2022-11-29T00:00:00Z,1899-12-31T08:00:00Z,NA,20,7,1,85,85,NA,4,3,NA
deer creek,NA,2022-11-30T00:00:00Z,1899-12-31T08:00:00Z,NA,30,4.5,2,88,88,NA,0,0,cone not spinning
